문제 번호	문제명	선지1	선지2	선지3	선지4	정답	해설
0	오늘은 중요한 기능을 배포하는 날이다. 다음 중 개발자가 가장 들으면 안되는 말은?	(함께 코드를 보며) 이 부분 빨리 수정 가능할까요?	(깜깜한 새벽, 혼자 모니터링을 하며) 어?	음...어떡하죠?	(퇴근 후 슬랙 멘션이 울린다) @님 지금 어디세요?	4	이 일의 담당자인 개발자가 퇴근 후 업무 슬랙으로 호출당했다는 것만큼 급한 상황은 없다.
1	개발자가 갑자기 모니터를 껐다 켰다 한다. 가장 그럴듯한 이유는?	전기를 아끼려는 환경운동	새로 산 모니터를 구경하려고	이러면 왠지 될 것 같아서	눈이 피로해서	3	개발자 밈 국룰: “껐다 켜봤어?”
2	개발자가 “이건 진짜 금방 끝나요”라고 말했다. 실제로 걸리는 시간은?	30분	오늘 퇴근 전에	이번 주 금요일 퇴근 전에	아무도 모른다.	4	“금방”은 개발자 세계에서 상대적인 시간 단위다.
3	개발자를 괴롭히던 에러가 갑자기 사라졌다. 개발자의 반응은?	문제를 정확히 분석한다.	재현 테스트를 작성한다.	상사에게 정리해 상세히 보고한다.	다음 작업을 진행한다.	4	“됐으면 됐다…”
4	“이건 진짜 간단해요”라는 말을 믿으면 안 되는 이유는?	문제의 크기를 아직 몰라서	담당자의 실력이 없어서	설명하기 귀찮아서	농담을 좋아해서	1	간단한 줄 알았던 일이 대형 프로젝트로 진화하는 순간
5	개발자가 커피를 마시는 이유는?	맛있어서	밤샘으로 지친 컨디션을 회복하기 위해	분위기 때문에	코드가 돌아가길 기원하며	4	커피 == 부적
6	“어제까지 잘 됐는데요?” 이 말을 들은 사람의 직업은?	마술사	의사	개발자	에어컨 수리 기사	3	개발자 세계 3대 미스터리 중 하나
7	아무것도 안 바꿨는데 문제가 생겼다. 이때 개발자의 머릿속은?	시스템 오류다.	두 달 전의 내가 저질렀다.	동료의 잘못이다.	AI 잘못이다.	2	과거의 내가 쓴 코드는 나도 모른다.
8	개발자가 에러를 보고 가장 먼저 하는 행동은?	에러 메시지를 그대로 복사한다.	매뉴얼을 찾아본다.	코드를 처음부터 다시 짠다.	동료에게 도움을 구한다.	1	구글은 개발자의 두 번째 뇌. 첫 번째는 기억 안 남
9	개발자가 코드에 주석을 안 남긴 이유는?	천재라서	바빠서	미래의 누군가 고생하길 바라서	귀찮아서	3	“이 코드 누가 짰어” -> 과거의 나
10	개발자가 가장 신뢰하는 테스트 방법은?	자동 테스트	QA 팀 검증	시뮬레이터 테스트	내 컴퓨터에서 되면 OK	4	“내 컴퓨터에선 되는데요?” 개발자 방어 주문 1단계
11	개발자가 가장 공포를 느끼는 색깔은?	검은색	초록색	빨간색	파란색	3	화면 가득 오류가 뜨는 빨간 줄은 개발자의 심박수를 급격히 올립니다.
12	개발자가 퇴근하려는데 상사가 "이거 간단한 건데"라고 잡았다. 이때 개발자의 속마음은?	아싸, 빨리 끝내고 가야지	진짜 간단하겠지?	오늘 퇴근은 글렀구나 ~	상사가 날 아끼는구나	3	개발자 사전에 "간단한건데" == "구조를 다 뜯어고쳐야 하는 복잡한 일"
13	숫자를 셀 때 개발자는 몇 부터 시작할까?	0	1	2	3	1	배열의 인덱스는 0부터 시작하는 것이 국룰
14	개발자가 코드를 짤 때 가장 많이 하는 행동은?	수학 공식 계산하기	타자 연습	복사 붙여넣기	모니터 청소하기	3	우리의 코드는 AI가 작성하고 이제 복사 붙여넣기 해야죠
15	신입 개발자가 들어왔을 때 사수가 가장 먼저 알려주는 것은?	회사의 비전	탕비실 위치	복잡한 서버 구조	코딩 스타일 가이드	2	카페인과 당 충전은 코드 품질과 직결되기 때문입니다.
16	경고 메시지를 본 개발자의 반응은?	심각하게 분석한다	즉시 고친다	못본 척 무시한다	동료에게 알린다	3	에러만 아니면 됩니다. 노란색 경고 따위는 가볍게 무시!
17	코드 리뷰에서 LGTM은 무슨 뜻일까요?	Let's Go To Market (쇼핑 ㄱㄱ)	Looks Good To Me (좋아 보이네요)	Let's Get This Money (돈 벌자)	Love Good Tears Money	2	문제가 없어보일 때 많이 사용되는 줄임말입니다
18	다음 중 개발자가 "라이브러리"라고 부르는 것은?	책 읽는 도서관	미리 작성된 코드 모음집	회사 휴게실	사내 식당	2	남이 잘 짜준 코드를 가져와서 조립하는 것, 이게 바로 현대 개발
19	AI가 코드를 짜주기 시작했다. 개발자의 반응은?	내 밥그릇 ㅠㅠ	오 개꿀 (복붙)	기획자로 전향한다	퇴사한다	2	AI는 훌륭한 부사수입니다
20	개발자가 "이게 왜 돌아가지"라고 말하는 상황은?	코드가 완벽할 때	버그가 있어야 하는데 정상 동작할 때	컴퓨터가 회전할 때	의자가 돌아갈 때	2	내가 짠 논리대로라면 에러가 나야 하는데 잘 되면 더 불안합니다.
21	개발자가 “이건 설정 문제예요”라고 말할 때 가장 가까운 의미는?	옵션 하나만 바꾸면 된다	환경마다 다르게 터진다	코드가 잘못됐다	다시 설치하면 된다	2	내 컴퓨터에선 되는데 다른 환경에선 안 되는 그 문제.
22	개발자가 “이건 리팩터링이에요”라고 말하면 실제로는?	성능 개선	코드 정리	기능 변경	다 뜯어고침	4	리팩터링은 종종 이사 + 인테리어 + 철거다.
23	개발자가 가장 오래 붙잡고 있는 파일은?	최신 파일	가장 큰 파일	이름이 애매한 파일	테스트 파일	3	util, temp, final_final 같은 이름은 정체 불명이다.
24	개발자가 기능을 만들고 “이건 쓰지 마세요”라고 말하는 이유는?	미완성이라서	위험해서	언제 터질지 몰라서	본인도 이해 못 해서	4	만든 사람도 설명 못 하면 금지 구역이 된다.
25	개발자가 회의에서 가장 자주 쓰는 말은?	네	일단 해볼게요	가능은 한데요	다 맞습니다	3	“가능은 한데요” 뒤에는 조건·시간·위험이 숨어 있다.
